model,modality,hardware,arch_type,params_B,hw_tdp,compute_units,memory_bw,output_complexity,num_steps,batch_size,energy_j,time_s,avg_power_w
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,23.24,2.92,7.27
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,23.46,2.4,10.38
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.19,2.45,9.09
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,21.17,2.47,10.16
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.17,2.45,9.33
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,23.3,2.48,10.74
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.22,2.46,9.7
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,22.15,2.43,10.7
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,26.17,2.46,8.77
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.22,2.46,9.15
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,24.64,2.47,9.54
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.96,2.47,8.96
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.88,2.47,8.62
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,23.61,2.45,10.33
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,21.7,2.45,10.43
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.23,2.47,9.11
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,21.94,2.47,10.65
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,26.23,2.47,8.75
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.6,2.46,8.96
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,26.01,2.47,9.23
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,26.06,2.45,9.24
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.86,2.46,8.78
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.43,2.46,9.25
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.96,2.46,8.75
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,26.31,2.47,9.01
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,24.39,2.46,9.69
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,22.89,2.46,11.15
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,23.82,2.46,10.19
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,21.99,2.42,10.62
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,64,1,1,25.41,2.47,9.44
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,52.36,5.26,9.33
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.44,4.88,10.52
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.56,4.87,11.12
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.47,4.86,10.97
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.32,4.87,11.05
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.64,4.89,11.09
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.12,4.87,10.97
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,51.25,4.87,11.42
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.83,4.85,11.17
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.08,4.83,11.52
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.76,4.85,10.97
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.39,4.86,11.29
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.46,4.87,11.05
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.18,4.86,11.23
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,56.0,4.87,10.67
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.06,4.87,11.18
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.36,4.87,11.25
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.28,4.87,11.56
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,53.87,4.88,11.27
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.03,4.88,11.14
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.35,4.86,11.26
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,20.76,2.11,9.79
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.0,4.87,11.43
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,56.8,4.88,10.55
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.25,4.88,11.03
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,55.57,4.86,11.02
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.63,4.87,11.3
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,54.04,4.85,11.33
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,57.19,4.87,10.75
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,128,1,1,51.7,4.87,11.73
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,127.69,11.62,11.03
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,134.54,45.69,2.97
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,141.17,63.4,2.26
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,141.08,77.48,1.87
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,140.12,78.6,1.8
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,136.73,79.36,1.74
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,139.38,82.48,1.68
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,135.4,77.36,1.74
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,142.64,80.17,1.77
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,134.63,100.41,1.34
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,133.84,81.05,1.66
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,132.81,88.58,1.51
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,129.99,79.41,1.63
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,135.32,87.76,1.56
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,1.29,0.62,2.02
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,126.96,79.18,1.63
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,123.33,80.97,1.54
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,128.84,81.93,1.58
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,134.01,81.4,1.65
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,125.14,82.97,1.5
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,131.8,76.89,1.73
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,132.16,91.97,1.45
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,114.98,80.56,1.44
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,116.0,69.49,1.71
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,123.31,53.05,2.32
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,140.66,64.85,2.22
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,140.11,77.23,1.84
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,129.24,54.2,2.35
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,124.57,53.23,2.32
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,256,1,1,126.78,52.57,2.39
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,285.16,72.98,3.88
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,279.33,36.99,7.55
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,296.8,20.44,14.35
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,299.98,20.43,14.42
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,302.05,20.32,14.63
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,292.21,20.23,14.15
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,287.87,20.22,14.32
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,291.04,20.22,14.27
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,293.67,20.19,14.38
Phi-3-mini-4k,text,Apple M4 Pro,0,3.8,40,20,273,512,1,1,292.51,20.23,14.52
